observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,count,classificationMethod,classificationTimestamp,observationComments
2023_05_5A_1_obs_05975,5A_P800HK06278624,2023_05_5A_1_img_06061,2023_05_5A_1_evt_01992,2023-08-14T11:02:19-08:00,2023-08-14T11:02:19-08:00,media,Empty,NA,machine,2023-11-21 11:05:00.283579,comments
2023_05_5A_1_obs_05976,5A_P800HK06278624,2023_05_5A_1_img_06062,2023_05_5A_1_evt_01992,2023-08-14T11:02:24-08:00,2023-08-14T11:02:24-08:00,media,Empty,NA,machine,2023-11-21 11:05:00.713210,comments
2023_05_5A_1_obs_05977,5A_P800HK06278624,2023_05_5A_1_img_06063,2023_05_5A_1_evt_01993,2023-08-14T11:04:00-08:00,2023-08-14T11:04:00-08:00,media,Empty,NA,machine,2023-11-21 10:34:06.271016,comments
2023_05_5A_1_obs_05978,5A_P800HK06278624,2023_05_5A_1_img_06064,2023_05_5A_1_evt_01993,2023-08-14T11:04:05-08:00,2023-08-14T11:04:05-08:00,media,Empty,NA,machine,2023-11-21 10:34:06.695926,comments
2023_05_5A_1_obs_05979,5A_P800HK06278624,2023_05_5A_1_img_06065,2023_05_5A_1_evt_01993,2023-08-14T11:04:10-08:00,2023-08-14T11:04:10-08:00,media,Empty,NA,machine,2023-11-21 11:05:01.141339,comments
2023_05_5A_1_obs_05980,5A_P800HK06278624,2023_05_5A_1_img_06066,2023_05_5A_1_evt_01994,2023-08-14T11:10:11-08:00,2023-08-14T11:10:11-08:00,media,Empty,NA,machine,2023-11-21 11:05:01.570711,comments
2023_05_5A_1_obs_05981,5A_P800HK06278624,2023_05_5A_1_img_06067,2023_05_5A_1_evt_01994,2023-08-14T11:10:16-08:00,2023-08-14T11:10:16-08:00,media,Empty,NA,machine,2023-11-21 10:34:07.119537,comments
2023_05_5A_1_obs_05982,5A_P800HK06278624,2023_05_5A_1_img_06068,2023_05_5A_1_evt_01994,2023-08-14T11:10:21-08:00,2023-08-14T11:10:21-08:00,media,Empty,NA,machine,2023-11-21 11:05:01.997857,comments
2023_05_5A_1_obs_05983,5A_P800HK06278624,2023_05_5A_1_img_06069,2023_05_5A_1_evt_01995,2023-08-14T11:16:01-08:00,2023-08-14T11:16:01-08:00,media,Empty,NA,machine,2023-11-21 11:05:02.427099,comments
2023_05_5A_1_obs_05984,5A_P800HK06278624,2023_05_5A_1_img_06070,2023_05_5A_1_evt_01995,2023-08-14T11:16:06-08:00,2023-08-14T11:16:06-08:00,media,Empty,NA,machine,2023-11-21 11:05:02.854346,comments
2023_05_5A_1_obs_05985,5A_P800HK06278624,2023_05_5A_1_img_06071,2023_05_5A_1_evt_01995,2023-08-14T11:16:11-08:00,2023-08-14T11:16:11-08:00,media,Empty,NA,machine,2023-11-21 10:34:07.544409,comments
2023_05_5A_1_obs_05986,5A_P800HK06278624,2023_05_5A_1_img_06072,2023_05_5A_1_evt_01996,2023-08-14T11:25:39-08:00,2023-08-14T11:25:39-08:00,media,Empty,NA,machine,2023-11-21 11:05:03.282160,comments
2023_05_5A_1_obs_05987,5A_P800HK06278624,2023_05_5A_1_img_06073,2023_05_5A_1_evt_01996,2023-08-14T11:25:44-08:00,2023-08-14T11:25:44-08:00,media,Empty,NA,machine,2023-11-21 11:05:03.712323,comments
2023_05_5A_1_obs_05988,5A_P800HK06278624,2023_05_5A_1_img_06074,2023_05_5A_1_evt_01996,2023-08-14T11:25:49-08:00,2023-08-14T11:25:49-08:00,media,Empty,NA,machine,2023-11-21 11:05:04.140177,comments
2023_05_5A_1_obs_05989,5A_P800HK06278624,2023_05_5A_1_img_06075,2023_05_5A_1_evt_01997,2023-08-14T11:28:34-08:00,2023-08-14T11:28:34-08:00,media,Empty,NA,machine,2023-11-21 10:34:07.970254,comments
2023_05_5A_1_obs_05990,5A_P800HK06278624,2023_05_5A_1_img_06076,2023_05_5A_1_evt_01997,2023-08-14T11:28:39-08:00,2023-08-14T11:28:39-08:00,media,Empty,NA,machine,2023-11-21 10:34:08.394306,comments
2023_05_5A_1_obs_05991,5A_P800HK06278624,2023_05_5A_1_img_06077,2023_05_5A_1_evt_01997,2023-08-14T11:28:44-08:00,2023-08-14T11:28:44-08:00,media,Empty,NA,machine,2023-11-21 11:05:04.569709,comments
2023_05_5A_1_obs_05992,5A_P800HK06278624,2023_05_5A_1_img_06078,2023_05_5A_1_evt_01998,2023-08-14T11:29:00-08:00,2023-08-14T11:29:00-08:00,media,Empty,NA,machine,2023-11-21 11:05:04.997731,comments
2023_05_5A_1_obs_05993,5A_P800HK06278624,2023_05_5A_1_img_06079,2023_05_5A_1_evt_01998,2023-08-14T11:29:05-08:00,2023-08-14T11:29:05-08:00,media,Empty,NA,machine,2023-11-21 10:34:08.817899,comments
2023_05_5A_1_obs_05994,5A_P800HK06278624,2023_05_5A_1_img_06080,2023_05_5A_1_evt_01998,2023-08-14T11:29:10-08:00,2023-08-14T11:29:10-08:00,media,Empty,NA,machine,2023-11-21 11:05:05.426523,comments
2023_05_5A_1_obs_05995,5A_P800HK06278624,2023_05_5A_1_img_06081,2023_05_5A_1_evt_01999,2023-08-14T11:31:01-08:00,2023-08-14T11:31:01-08:00,media,Empty,NA,machine,2023-11-21 11:05:05.854214,comments
2023_05_5A_1_obs_05996,5A_P800HK06278624,2023_05_5A_1_img_06082,2023_05_5A_1_evt_01999,2023-08-14T11:31:06-08:00,2023-08-14T11:31:06-08:00,media,Empty,NA,machine,2023-11-21 11:05:06.281861,comments
2023_05_5A_1_obs_05997,5A_P800HK06278624,2023_05_5A_1_img_06083,2023_05_5A_1_evt_01999,2023-08-14T11:31:11-08:00,2023-08-14T11:31:11-08:00,media,Empty,NA,machine,2023-11-21 10:34:09.241559,comments
2023_05_5A_1_obs_05998,5A_P800HK06278624,2023_05_5A_1_img_06084,2023_05_5A_1_evt_02000,2023-08-14T11:36:21-08:00,2023-08-14T11:36:21-08:00,media,Empty,NA,machine,2023-11-21 11:05:06.711626,comments
2023_05_5A_1_obs_05999,5A_P800HK06278624,2023_05_5A_1_img_06085,2023_05_5A_1_evt_02000,2023-08-14T11:36:26-08:00,2023-08-14T11:36:26-08:00,media,Empty,NA,machine,2023-11-21 11:05:07.139108,comments
2023_05_5A_1_obs_06000,5A_P800HK06278624,2023_05_5A_1_img_06086,2023_05_5A_1_evt_02000,2023-08-14T11:36:31-08:00,2023-08-14T11:36:31-08:00,media,Empty,NA,machine,2023-11-21 11:05:07.568428,comments
2023_05_5A_1_obs_06001,5A_P800HK06278624,2023_05_5A_1_img_06087,2023_05_5A_1_evt_02001,2023-08-14T11:44:49-08:00,2023-08-14T11:44:49-08:00,media,Empty,NA,machine,2023-11-21 10:34:09.666216,comments
2023_05_5A_1_obs_06002,5A_P800HK06278624,2023_05_5A_1_img_06088,2023_05_5A_1_evt_02001,2023-08-14T11:44:54-08:00,2023-08-14T11:44:54-08:00,media,Empty,NA,machine,2023-11-21 10:34:10.089383,comments
2023_05_5A_1_obs_06003,5A_P800HK06278624,2023_05_5A_1_img_06089,2023_05_5A_1_evt_02001,2023-08-14T11:44:59-08:00,2023-08-14T11:44:59-08:00,media,Empty,NA,machine,2023-11-21 11:05:07.995757,comments
2023_05_5A_1_obs_06004,5A_P800HK06278624,2023_05_5A_1_img_06090,2023_05_5A_1_evt_02002,2023-08-14T11:45:31-08:00,2023-08-14T11:45:31-08:00,media,Empty,NA,machine,2023-11-21 11:05:08.424547,comments
2023_05_5A_1_obs_06005,5A_P800HK06278624,2023_05_5A_1_img_06091,2023_05_5A_1_evt_02002,2023-08-14T11:45:36-08:00,2023-08-14T11:45:36-08:00,media,Empty,NA,machine,2023-11-21 10:34:10.513718,comments
2023_05_5A_1_obs_06006,5A_P800HK06278624,2023_05_5A_1_img_06092,2023_05_5A_1_evt_02002,2023-08-14T11:45:41-08:00,2023-08-14T11:45:41-08:00,media,Empty,NA,machine,2023-11-21 11:05:08.851168,comments
2023_05_5A_1_obs_06007,5A_P800HK06278624,2023_05_5A_1_img_06094,2023_05_5A_1_evt_02003,2023-08-14T12:01:33-08:00,2023-08-14T12:01:33-08:00,media,Empty,NA,machine,2023-11-21 11:05:09.707517,comments
2023_05_5A_1_obs_06008,5A_P800HK06278624,2023_05_5A_1_img_06095,2023_05_5A_1_evt_02003,2023-08-14T12:01:38-08:00,2023-08-14T12:01:38-08:00,media,Empty,NA,machine,2023-11-21 10:34:10.936124,comments
2023_05_5A_1_obs_06009,5A_P800HK06278624,2023_05_5A_1_img_06096,2023_05_5A_1_evt_02003,2023-08-14T12:01:43-08:00,2023-08-14T12:01:43-08:00,media,Empty,NA,machine,2023-11-21 11:05:10.134617,comments
2023_05_5A_1_obs_06010,5A_P800HK06278624,2023_05_5A_1_img_06097,2023_05_5A_1_evt_02004,2023-08-14T12:15:22-08:00,2023-08-14T12:15:22-08:00,media,Empty,NA,machine,2023-11-21 11:05:10.563657,comments
