imageLabel,imageName,accuracy,classificationTimeStamp
Empty,year_camLoc_camID_tripNum_img_00078.jpg,"(63.67, '%.')",2022-11-21 21:54:34.055454
Empty,year_camLoc_camID_tripNum_img_00081.jpg,"(63.67, '%.')",2022-11-21 21:54:34.481530
Empty,year_camLoc_camID_tripNum_img_00084.jpg,"(65.23, '%.')",2022-11-21 21:54:34.908321
Empty,year_camLoc_camID_tripNum_img_00088.jpg,"(65.62, '%.')",2022-11-21 21:54:35.335844
Empty,year_camLoc_camID_tripNum_img_00001.jpg,"(65.62, '%.')",2022-11-21 21:54:35.761608
Empty,year_camLoc_camID_tripNum_img_00005.jpg,"(63.28, '%.')",2022-11-21 21:54:36.188024
Empty,year_camLoc_camID_tripNum_img_00008.jpg,"(63.67, '%.')",2022-11-21 21:54:36.614150
Empty,year_camLoc_camID_tripNum_img_00009.jpg,"(65.62, '%.')",2022-11-21 21:54:37.040447
Empty,year_camLoc_camID_tripNum_img_00010.jpg,"(66.02, '%.')",2022-11-21 21:54:37.466986
Empty,year_camLoc_camID_tripNum_img_00013.jpg,"(63.67, '%.')",2022-11-21 21:54:37.892900
Empty,year_camLoc_camID_tripNum_img_00015.jpg,"(65.62, '%.')",2022-11-21 21:54:38.318610
Empty,year_camLoc_camID_tripNum_img_00022.jpg,"(63.67, '%.')",2022-11-21 21:54:38.744920
Empty,year_camLoc_camID_tripNum_img_00027.jpg,"(65.62, '%.')",2022-11-21 21:54:39.172691
Empty,year_camLoc_camID_tripNum_img_00033.jpg,"(67.97, '%.')",2022-11-21 21:54:39.598967
Empty,year_camLoc_camID_tripNum_img_00034.jpg,"(54.3, '%.')",2022-11-21 21:54:40.025052
Empty,year_camLoc_camID_tripNum_img_00037.jpg,"(68.75, '%.')",2022-11-21 21:54:40.451991
Empty,year_camLoc_camID_tripNum_img_00039.jpg,"(65.62, '%.')",2022-11-21 21:54:40.878308
Empty,year_camLoc_camID_tripNum_img_00047.jpg,"(68.75, '%.')",2022-11-21 21:54:41.305438
